Identifier,"""Title""","""Journal""",Month,Year,Publisher,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10
ISI:000456188500001,"""A Survey on Mobile Crowd-Sensing and Its Applications in the IoT Era""","""{IEEE ACCESS}""",{DEC},{2019},{IEEE},"Abualsaud, Khalid"," Elfouly, Tarek M."," Khattab, Tamer"," Yaacoub, Elias"," Ismail, Loay Sabry"," Ahmed, Mohamed Hossam"," Guizani, Mohsen",,,
ISI:000447859300012,"""UNLOCKING 5G SPECTRUM POTENTIAL FOR INTELLIGENT IOT: OPPORTUNITIES and CHALLENGES AND SOLUTIONS""","""{IEEE COMMUNICATIONS MAGAZINE}""",{JAN},{2018},{IEEE},"Afzal, Muhammad Khalil"," Bin Zikria, Yousaf"," Mumtaz, Shahid"," Rayes, Ammar"," Al-Dulaimi, Anwer"," Guizani, Mohsen",,,,
ISI:000451790900050,"""Process state synchronization-based application execution management for mobile edge/cloud computing""","""{FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE}""",{FEB},{2019},{ELSEVIER SCIENCE BV},"Ahmed, Ejaz"," Naveed, Anjum"," Gani, Abdullah"," Ab Hamid, Siti Hafizah"," Imran, Muhammad"," Guizani, Mohsen",,,,
ISI:000442316200014,"""IMMINENT COMMUNICATION TECHNOLOGIES FOR SMART COMMUNITIES: PART 2""","""{IEEE COMMUNICATIONS MAGAZINE}""",{JUL},{2018},{IEEE},"Ahmed, Syed Hassan"," Guizani, Mohsen"," Lloret, Jaime"," Rawat, Danda B."," Guibene, Wael"," Zhong, Zhimeng",,,,
ISI:000454716600001,"""Privacy and Security Issues in Online Social Networks""","""{FUTURE INTERNET}""",{DEC},{2018},{MDPI},"Ali, Shaukat"," Islam, Naveed"," Rauf, Azhar"," Din, Ikram Ud"," Guizani, Mohsen"," Rodrigues, Joel J. P. C.",,,,
ISI:000437394700008,"""Real-Time Intersection-Based Segment Aware Routing Algorithm for Urban Vehicular Networks""","""{IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS}""",{JUL},{2018},{IEEE},"Al-Mayouf, Yusor Rafid Bahar"," Abdullah, Nor Fadzilah"," Mahdi, Omar Adil"," Khan, Suleman"," Ismail, Mahamod"," Guizani, Mohsen"," Ahmed, Syed Hassan",,,
ISI:000451262300093,"""5G D2D Networks: Techniques Challenges and Future Prospects""","""{IEEE SYSTEMS JOURNAL}""",{DEC},{2018},{IEEE},"Ansari, Rafay Iqbal"," Chrysostomou, Chrysostomos"," Hassan, Syed Ali"," Guizani, Mohsen"," Mumtaz, Shahid"," Rodriguez, Jonathan"," Rodrigues, Joel J. P. C.",,,
ISI:000444805800024,"""Mixed RF/FSO Cooperative Relaying Systems With Co-Channel Interference""","""{IEEE TRANSACTIONS ON COMMUNICATIONS}""",{SEP},{2018},{IEEE},"Balti, Elyes"," Guizani, Mohsen",,,,,,,,
ISI:000445981400008,"""FPAN: Fine-grained and progressive attention localization network for data retrieval""","""{COMPUTER NETWORKS}""",{OCT 9},{2018},{ELSEVIER SCIENCE BV},"Chen, Sijia"," Song, Bin"," Guo, Jie"," Zhang, Yanling"," Du, Xiaojiang"," Guizani, Mohsen",,,,
ISI:000449992000007,"""Reinforcement learning-based QoS/QoE-aware service function chaining in software-driven 5G slices""","""{TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES}""", {AUG},{1998},,"Chen, Xi"," Li, Zonghang"," Zhang, Yupeng"," Long, Ruiming"," Yu, Hongfang"," Du, Xiaojiang"," Guizani, Mohsen",,,
